"trial","execution_state","converged","attempts","convergence","value","eval_fn","eval_gr","log_n","failed_clients_n","message","result_file","trace_file","final_file"
46,"completed",TRUE,1,0,2169.9331,18,18,18,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_result_trial_046_20260521-172215.json","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_trace_trial_046_20260521-172215.csv","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/final_params_trial_046_20260521-172215.csv"
47,"completed",TRUE,1,0,2220.3581,40,40,40,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_result_trial_047_20260521-172431.json","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_trace_trial_047_20260521-172431.csv","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/final_params_trial_047_20260521-172431.csv"
48,"completed",TRUE,1,0,2243.7502,23,23,23,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_result_trial_048_20260521-172934.json","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_trace_trial_048_20260521-172934.csv","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/final_params_trial_048_20260521-172934.csv"
49,"completed",TRUE,1,0,2189.1102,21,21,21,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_result_trial_049_20260521-173230.json","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_trace_trial_049_20260521-173230.csv","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/final_params_trial_049_20260521-173230.csv"
50,"completed",TRUE,1,0,2184.2546,18,18,18,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_result_trial_050_20260521-173511.json","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/optim_trace_trial_050_20260521-173511.csv","/project/results/runs/scenario1/bootstrap/federated/scenario1/raw_runs/run_20260521-172215/final_params_trial_050_20260521-173511.csv"
