scenario,trial,n_patients,fit_ok,converged,lka,lcl,lvc,KA,CL,V,omega2_cl,omega_cl_v,omega2_v,rho_cl_v,sigma_prop,sigma2_prop,objf,aic,sh_eta_cl_pct,sh_eta_v_pct,sh_eps_pct,convergence
scenario1,1,100,TRUE,TRUE,2.13440316980796,2.18298142624954,2.94453214196729,8.45200059209767,8.87272022449159,19.0017701756721,0.0808697590923766,0.0324264793177939,0.0144262336743884,0.94935849756117,0.367121936468825,0.13477851623662,2209.52093210121,2774.88405202402,12.1833964520385,18.0885486963563,10.6797423524468,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,2,100,TRUE,TRUE,2.35935412070896,2.1751219065346,2.98373640178456,10.5841131848037,8.80325823148094,19.761515837164,0.0986595819854454,0.052922076193469,0.0298887818255431,0.974570207114138,0.338523859254591,0.114598403284622,2203.18716809599,2768.55028801879,10.5814331950397,13.5913300569801,11.8456116073612,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,3,100,TRUE,TRUE,2.18280348292449,2.15751459172875,2.94572418630513,8.87114152361649,8.6496131009428,19.0244346340549,0.103978119393635,0.0668562385887893,0.0445134628678924,0.982709760063564,0.371770242952128,0.138213113544684,2230.37867595189,2795.7417958747,12.058626009565,14.1069825057908,10.9821941498253,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,4,100,TRUE,TRUE,2.21069021580489,2.22180029478411,2.96535267927758,9.12201037642121,9.22392170533551,19.4015445577238,0.107395096553855,0.0654384573016203,0.0413953092553773,0.981443403223242,0.362313282984128,0.131270915026737,2207.18101803682,2772.54413795962,10.5209037095912,12.8406233655935,11.4889416789298,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,5,100,TRUE,TRUE,2.19619500906336,2.11950430235941,2.92535038666857,8.9907386539564,8.32700878587001,18.6407563782891,0.0950413230761981,0.0656186913363693,0.0468332336399894,0.983545046639425,0.357780938086924,0.12800719965836,2229.06127021264,2794.42439013544,12.9213961354737,14.765638947482,11.1168757082411,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,6,100,TRUE,TRUE,2.31615775573644,2.20115935064431,3.00070269906553,10.1366518946679,9.03548272222704,20.0996559713543,0.123350931937993,0.0630828098286945,0.0337706430981717,0.977395075094036,0.362023191401844,0.131060791112776,2241.8164166984,2807.1795366212,9.30737743452372,12.0500914615337,11.685313841498,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,7,100,TRUE,TRUE,2.31934600269826,2.13801517738535,2.88536095450324,10.1690216181908,8.48258448365316,17.9100311353194,0.119632279496981,0.0580833226423313,0.0297006670936204,0.974415449570458,0.340420375680931,0.115886032178746,2224.51631912029,2789.8794390431,8.33507499600092,11.5570005778339,12.3120967797026,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,8,100,TRUE,TRUE,2.25804877983368,2.22889056517273,2.99421028451028,9.56440868072383,9.28955420539986,19.9695833718847,0.0745896436912539,0.0492967094563365,0.0340906370273447,0.977599805696625,0.350023480867724,0.122516437158758,2168.38535998154,2733.74847990434,14.7119627784156,17.325187293445,10.6757372450783,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,9,100,TRUE,TRUE,2.40032251739529,2.15212916191771,2.98130966467707,11.0267321201388,8.60315642356396,19.7136179746479,0.099594998408152,0.0537536352613098,0.0305143802338818,0.975072254479336,0.375186503414291,0.140764912344242,2256.48425276371,2821.84737268651,12.1514449256827,15.0326275632101,10.7185015447358,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario1,10,100,TRUE,TRUE,2.3714683864727,2.20126424669198,3.0423006410109,10.7131117285195,9.03643055836471,20.9533940626683,0.113844242025637,0.0691357550962317,0.0435098004880194,0.982321455062088,0.342242513400257,0.117129937978525,2196.68566700002,2762.04878692283,10.152528691983,12.2357090928149,11.9130780446525,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
