"trial","execution_state","converged","parameter","estimate"
336,"completed",TRUE,"(etaLcl,etaLvc)",0.0435038439992556
337,"completed",TRUE,"(etaLcl,etaLvc)",0.0566361579665249
338,"completed",TRUE,"(etaLcl,etaLvc)",0.0747199542518611
339,"completed",TRUE,"(etaLcl,etaLvc)",0.0536083946894618
340,"completed",TRUE,"(etaLcl,etaLvc)",0.0655948108735757
336,"completed",TRUE,"CcPropSd",0.336961829139471
337,"completed",TRUE,"CcPropSd",0.346893918493442
338,"completed",TRUE,"CcPropSd",0.373257786265528
339,"completed",TRUE,"CcPropSd",0.348867045734156
340,"completed",TRUE,"CcPropSd",0.384776891569444
336,"completed",TRUE,"etaLcl",0.0918809203970919
337,"completed",TRUE,"etaLcl",0.106470380217888
338,"completed",TRUE,"etaLcl",0.135790391324768
339,"completed",TRUE,"etaLcl",0.0981872726397779
340,"completed",TRUE,"etaLcl",0.104583054313802
336,"completed",TRUE,"etaLvc",0.0220693058406988
337,"completed",TRUE,"etaLvc",0.0316302173748239
338,"completed",TRUE,"etaLvc",0.0426368400466958
339,"completed",TRUE,"etaLvc",0.0307703374258631
340,"completed",TRUE,"etaLvc",0.0426652709886809
336,"completed",TRUE,"lcl",2.14974375844133
337,"completed",TRUE,"lcl",2.17886599519872
338,"completed",TRUE,"lcl",2.18385682779559
339,"completed",TRUE,"lcl",2.16709395235385
340,"completed",TRUE,"lcl",2.19517179474315
336,"completed",TRUE,"lka",2.2342873153031
337,"completed",TRUE,"lka",2.3791712443019
338,"completed",TRUE,"lka",2.11326245217314
339,"completed",TRUE,"lka",2.33247646104134
340,"completed",TRUE,"lka",2.05455906609077
336,"completed",TRUE,"lvc",2.92536764813374
337,"completed",TRUE,"lvc",2.98295259370659
338,"completed",TRUE,"lvc",2.97716095345154
339,"completed",TRUE,"lvc",2.96154123687642
340,"completed",TRUE,"lvc",2.96470933250683
336,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.966096764820586
337,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.975951629719748
338,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.981995668722379
339,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.975301909900362
340,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.981977573561918
