"trial","execution_state","converged","attempts","convergence","value","eval_fn","eval_gr","log_n","failed_clients_n","message","result_file","trace_file","final_file"
291,"completed",TRUE,1,0,2281.6962,22,22,22,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_result_trial_291_20260523-074059.json","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_trace_trial_291_20260523-074059.csv","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/final_params_trial_291_20260523-074059.csv"
292,"completed",TRUE,1,0,2195.6258,15,15,15,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_result_trial_292_20260523-074346.json","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_trace_trial_292_20260523-074346.csv","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/final_params_trial_292_20260523-074346.csv"
293,"completed",TRUE,1,0,2238.8189,29,29,29,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_result_trial_293_20260523-074539.json","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_trace_trial_293_20260523-074539.csv","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/final_params_trial_293_20260523-074539.csv"
294,"completed",TRUE,1,0,2250.2191,29,29,29,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_result_trial_294_20260523-074920.json","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_trace_trial_294_20260523-074920.csv","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/final_params_trial_294_20260523-074920.csv"
295,"completed",TRUE,1,0,2258.2754,23,23,23,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_result_trial_295_20260523-075300.json","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/optim_trace_trial_295_20260523-075300.csv","/project/results/runs/scenario2/bootstrap/federated/scenario2/raw_runs/run_20260523-074059/final_params_trial_295_20260523-075300.csv"
