"iter","lka","lcl","lvc","CcPropSd","pchol__omega_cl_v__etaLcl__etaLcl","pchol__omega_cl_v__etaLcl__etaLvc","pchol__omega_cl_v__etaLvc__etaLvc","objf"
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2191.3163
2,2.37249337391566,2.73565229255908,2.23130523745178,-0.891126763866875,4.05105246044575,-25.15199089133,2.27592878519061,6174.9643
3,2.21969073558447,2.14752809775582,2.89332182846711,-1.18912757808489,3.99330942936797,-25.1562422378507,2.23222440490065,2180.1555
4,2.2251331906507,2.15030799705453,2.89323964751539,-1.1762719207183,3.99681983598572,-25.1559869213116,2.23565789672031,2178.7376
5,2.27314999595884,2.16406812670758,2.91104457148284,-1.07764632368739,4.02923970978286,-25.1536393952936,2.26800269223814,2172.1179
6,2.32028916138219,2.18660434303725,2.9347098281615,-1.05914469532937,4.0650247576969,-25.1510901291096,2.30334492498561,2169.9221
7,2.42540414853995,2.17553266161048,2.94595287296555,-1.04618104601564,4.13347994218545,-25.1463053851433,2.36381293530538,2167.7744
8,2.46158574209065,2.18099994257664,2.95100562481672,-1.05829959679579,4.15644081139348,-25.1447600132415,2.38129894199412,2167.3685
9,2.48299252815979,2.1786237251591,2.94758444120125,-1.06551748566669,4.16525918162622,-25.1442794139549,2.38233146237916,2167.2379
10,2.50764742865678,2.17472562626059,2.94822727116395,-1.07875382856709,4.17110232826035,-25.1441534342842,2.37409087637419,2167.1546
11,2.52012327237452,2.17422434174348,2.94464875108655,-1.08043158558329,4.17047179233799,-25.1444317217973,2.36248247895089,2167.0464
12,2.53464665500847,2.17405520159199,2.9433888428283,-1.08013333922883,4.16653891871568,-25.145081055604,2.34179091064153,2166.9262
13,2.56186921095964,2.17713683673902,2.94813117024946,-1.07646348948027,4.16746932032768,-25.145596814163,2.31706742738167,2166.795
14,2.58723729675428,2.18184917073186,2.95517292808056,-1.07446397554521,4.18040875068689,-25.1453262959129,2.30479037207393,2166.738
15,2.59375022411915,2.18020149719687,2.95698696814518,-1.06946841274629,4.18874772956057,-25.1450933968718,2.30120056740473,2166.7329
16,2.59505824936504,2.18149780939097,2.9570541616183,-1.0711503109824,4.18988100651178,-25.1450334283905,2.30155612324066,2166.723
17,2.59732838517722,2.18194630674551,2.95703645217391,-1.0712586251847,4.19394584565244,-25.1448922775766,2.30096834582176,2166.717
18,2.60057760962481,2.1818874886934,2.95675028195202,-1.07087634778868,4.20301777845855,-25.1445824653124,2.30003367767091,2166.709
19,2.60171816803697,2.1812218016859,2.95650277041797,-1.07138095229973,4.21046728902116,-25.1443580647397,2.29900894420886,2166.7026
20,2.6040029756905,2.17967654415342,2.95588867199043,-1.06673720787791,4.23115314573278,-25.144084796388,2.28755793357708,2166.6936
21,2.61056229176195,2.18104339398391,2.9607749159647,-1.06976892093877,4.25567139125268,-25.1438275363162,2.2727377047695,2166.6832
22,2.60565264690717,2.18104322764426,2.95903693279951,-1.0697608750401,4.24571408796714,-25.1441454140267,2.27481344801085,2166.667
23,2.60001258573352,2.18137489760987,2.95782951669533,-1.07076967537488,4.24550212311354,-25.1445455711474,2.26789350806229,2166.6522
24,2.5950563717004,2.18122325116179,2.95742906349679,-1.07147041026241,4.24849948639193,-25.1449492368167,2.25863690506142,2166.645
25,2.59547009583477,2.18306968307539,2.95859331401423,-1.07555416123786,4.28050324659839,-25.1452486534571,2.24021490894467,2166.6667
26,2.59512931184447,2.18154877969302,2.95763432249288,-1.07219038127632,4.25414179411912,-25.1450020243896,2.25538908135667,2166.6439
27,2.59157485257271,2.18077160947472,2.95738698753455,-1.07296703240881,4.25720143513465,-25.1453303316635,2.25156892983825,2166.6405
