"trial","execution_state","converged","parameter","estimate"
171,"completed",TRUE,"(etaLcl,etaLvc)",0.0433204659636529
172,"completed",TRUE,"(etaLcl,etaLvc)",0.0624214384875261
173,"completed",TRUE,"(etaLcl,etaLvc)",0.0607686149233639
174,"completed",TRUE,"(etaLcl,etaLvc)",0.0649680247893112
175,"completed",TRUE,"(etaLcl,etaLvc)",0.0548607353342377
171,"completed",TRUE,"CcPropSd",0.371780196320801
172,"completed",TRUE,"CcPropSd",0.36993927396564
173,"completed",TRUE,"CcPropSd",0.334099067315791
174,"completed",TRUE,"CcPropSd",0.378561542349787
175,"completed",TRUE,"CcPropSd",0.345938369794823
171,"completed",TRUE,"etaLcl",0.0763011291301873
172,"completed",TRUE,"etaLcl",0.123508689170961
173,"completed",TRUE,"etaLcl",0.0978811352913334
174,"completed",TRUE,"etaLcl",0.0931463949162961
175,"completed",TRUE,"etaLcl",0.114166896162667
171,"completed",TRUE,"etaLvc",0.0260838342308305
172,"completed",TRUE,"etaLvc",0.033053225244429
173,"completed",TRUE,"etaLvc",0.0392469903745614
174,"completed",TRUE,"etaLvc",0.0468444604054015
175,"completed",TRUE,"etaLvc",0.0278540544827353
171,"completed",TRUE,"lcl",2.24197848171163
172,"completed",TRUE,"lcl",2.1821607558974
173,"completed",TRUE,"lcl",2.19463993048317
174,"completed",TRUE,"lcl",2.13999237910338
175,"completed",TRUE,"lcl",2.19133985792899
171,"completed",TRUE,"lka",2.53543653204002
172,"completed",TRUE,"lka",2.15178525650725
173,"completed",TRUE,"lka",2.36678314876641
174,"completed",TRUE,"lka",2.36167405283035
175,"completed",TRUE,"lka",2.34196531294766
171,"completed",TRUE,"lvc",3.0068183815619
172,"completed",TRUE,"lvc",2.94676701037567
173,"completed",TRUE,"lvc",2.99835245926403
174,"completed",TRUE,"lvc",2.93735285073818
175,"completed",TRUE,"lvc",2.98317294994673
171,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.971050734676264
172,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.976962951895122
173,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.980452728290229
174,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.98352978692692
175,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.972853211761113
