"iter","objf","t(as.data.frame(as.list(x$par)))"
1,2196.8279,2.21156569460688
1,2196.8279,2.11625551480255
1,2196.8279,2.92852352386054
1,2196.8279,0.3
1,2196.8279,0.104907498512821
1,2196.8279,0.04044436916925
1,2196.8279,0.0639013320160261
1,2196.8279,0.981019437420317
2,3997.8787,2.20966227886338
2,3997.8787,2.97768125856832
2,3997.8787,2.71906785702856
2,3997.8787,0.465803729124391
2,3997.8787,0.13167528755128
2,3997.8787,0.0445170833047892
2,3997.8787,0.0752397288239385
2,3997.8787,0.982724385329537
3,2193.6126,2.21149959937056
3,2193.6126,2.14616812758671
3,2193.6126,2.92125027215807
3,2193.6126,0.304617788860361
3,2193.6126,0.105726300865723
3,2193.6126,0.0405777874981535
3,2193.6126,0.0642599499220198
3,2193.6126,0.981080587136525
4,2191.457,2.20954917386665
4,2191.457,2.16141201416569
4,2191.457,2.93395627764408
4,2191.457,0.309538543628478
4,2191.457,0.106571583520995
4,2191.457,0.0406839869491622
4,2191.457,0.064603887521227
4,2191.457,0.981129174031015
5,2187.2232,2.20404489918781
5,2187.2232,2.20573974222632
5,2187.2232,2.98651156633686
5,2187.2232,0.33005517290878
5,2187.2232,0.109635548840298
5,2187.2232,0.0405610574549569
5,2187.2232,0.0654234457576953
5,2187.2232,0.981076972252144
6,2187.0986,2.2048236185862
6,2187.0986,2.21157259261726
6,2187.0986,2.99159736766025
6,2187.0986,0.332760986753049
6,2187.0986,0.109901962310739
6,2187.0986,0.0402405324755742
6,2187.0986,0.0652338965112684
6,2187.0986,0.980931627627925
7,2186.8878,2.20871500349141
7,2186.8878,2.21596586784606
7,2186.8878,2.99537246373152
7,2186.8878,0.334732056130521
7,2186.8878,0.110006337626055
7,2186.8878,0.0392304607264425
7,2186.8878,0.0644094316161967
7,2186.8878,0.980457807784542
8,2186.2982,2.22334106760195
8,2186.2982,2.22289465141394
8,2186.2982,3.00024098453564
8,2186.2982,0.336148991752249
8,2186.2982,0.110012634603276
8,2186.2982,0.0355024428266285
8,2186.2982,0.0611510256804453
8,2186.2982,0.978483135352955
9,2185.9967,2.23479496531021
9,2185.9967,2.20742923276961
9,2185.9967,2.99581236115843
9,2185.9967,0.336333966946003
9,2185.9967,0.109080221618638
9,2185.9967,0.0310278375439475
9,2185.9967,0.0567518817708776
9,2185.9967,0.975509506717678
10,2185.7963,2.24459967598697
10,2185.7963,2.2117452300471
10,2185.7963,2.98288746093068
10,2185.7963,0.33363920865739
10,2185.7963,0.108995376070699
10,2185.7963,0.0285320246441776
10,2185.7963,0.0542862421095622
10,2185.7963,0.973462994855114
11,2185.646,2.23863169219006
11,2185.646,2.20913289756759
11,2185.646,2.98544320275087
11,2185.646,0.332165554229964
11,2185.646,0.108459615217678
11,2185.646,0.0297942819041701
11,2185.646,0.0553986899023402
11,2185.646,0.97453850552866
12,2185.5937,2.23720259204341
12,2185.5937,2.20813379758492
12,2185.5937,2.98538412068685
12,2185.5937,0.329861467731957
12,2185.5937,0.107932606205304
12,2185.5937,0.0297396170057384
12,2185.5937,0.0552106410140666
12,2185.5937,0.974493107812663
13,2185.5697,2.23661160431676
13,2185.5697,2.20837946887193
13,2185.5697,2.98502307073611
13,2185.5697,0.328064549072534
13,2185.5697,0.107250715758263
13,2185.5697,0.029149125744217
13,2185.5697,0.0544591727238978
13,2185.5697,0.97399824272946
14,2185.5543,2.23363982957615
14,2185.5543,2.20833184211029
14,2185.5543,2.98465514332943
14,2185.5543,0.327924541278426
14,2185.5543,0.106290590214444
14,2185.5543,0.0286805161837792
14,2185.5543,0.0537548324327437
14,2185.5543,0.973591158775297
15,2185.5428,2.221586205909
15,2185.5428,2.21040418796604
15,2185.5428,2.98416353037924
15,2185.5428,0.32852674626799
15,2185.5428,0.104215456957069
15,2185.5428,0.0283059303651805
15,2185.5428,0.0528605291107443
15,2185.5428,0.973255172198277
16,2185.5455,2.22041322390231
16,2185.5455,2.20819803069417
16,2185.5455,2.98462946854055
16,2185.5455,0.329373034779614
16,2185.5455,0.103921893711941
16,2185.5455,0.0275485582301482
16,2185.5455,0.0520375032960448
16,2185.5455,0.972553470654262
17,2185.5378,2.22106389046297
17,2185.5378,2.20942181141389
17,2185.5378,2.98437100730315
17,2185.5378,0.328903319714511
17,2185.5378,0.10408026401615
17,2185.5378,0.0279655078749033
17,2185.5378,0.0524908389454309
17,2185.5378,0.97294427288173
18,2185.5358,2.22333464613243
18,2185.5358,2.20886777505227
18,2185.5358,2.98373367845909
18,2185.5358,0.328847390519658
18,2185.5358,0.104474686548403
18,2185.5358,0.0279667131419268
18,2185.5358,0.0525914227862763
18,2185.5358,0.97294584529988
19,2185.5355,2.22257532669438
19,2185.5355,2.20860600741394
19,2185.5355,2.98337616086703
19,2185.5355,0.328844848011859
19,2185.5355,0.104418382941455
19,2185.5355,0.0279470087797853
19,2185.5355,0.0525577406197027
19,2185.5355,0.972927636539226
