"trial","execution_state","converged","parameter","estimate"
11,"completed",TRUE,"(etaLcl,etaLvc)",0.0466639536631767
12,"completed",TRUE,"(etaLcl,etaLvc)",0.0728360756809651
13,"completed",TRUE,"(etaLcl,etaLvc)",0.0408699842397532
14,"completed",TRUE,"(etaLcl,etaLvc)",0.0688673828241784
15,"completed",TRUE,"(etaLcl,etaLvc)",0.0665943808451821
11,"completed",TRUE,"CcPropSd",0.332188980375171
12,"completed",TRUE,"CcPropSd",0.365907611557416
13,"completed",TRUE,"CcPropSd",0.397765786490167
14,"completed",TRUE,"CcPropSd",0.3303952771263
15,"completed",TRUE,"CcPropSd",0.345062041722588
11,"completed",TRUE,"etaLcl",0.0976748869726487
12,"completed",TRUE,"etaLcl",0.110833681849333
13,"completed",TRUE,"etaLcl",0.0602461367355345
14,"completed",TRUE,"etaLcl",0.128170497012916
15,"completed",TRUE,"etaLcl",0.122140400278029
11,"completed",TRUE,"etaLvc",0.0237719445249267
12,"completed",TRUE,"etaLvc",0.0493972046203772
13,"completed",TRUE,"etaLvc",0.0292271884559118
14,"completed",TRUE,"etaLvc",0.0385189437624618
15,"completed",TRUE,"etaLvc",0.0378242698522789
11,"completed",TRUE,"lcl",2.15879682422933
12,"completed",TRUE,"lcl",2.22990791479676
13,"completed",TRUE,"lcl",2.21331659477211
14,"completed",TRUE,"lcl",2.22187959675095
15,"completed",TRUE,"lcl",2.20266282189338
11,"completed",TRUE,"lka",2.21917136574004
12,"completed",TRUE,"lka",2.235727919804
13,"completed",TRUE,"lka",2.41743757682522
14,"completed",TRUE,"lka",2.22266421135357
15,"completed",TRUE,"lka",2.36069413204048
11,"completed",TRUE,"lvc",2.942232616908
12,"completed",TRUE,"lvc",2.98663223446648
13,"completed",TRUE,"lvc",3.03813650536959
14,"completed",TRUE,"lvc",2.97685125991149
15,"completed",TRUE,"lvc",2.99149147230283
11,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.968406552762476
12,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.984372498265932
13,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.973971723869684
14,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.980127014949448
15,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.979766620236228
