scenario,trial,n_patients,fit_ok,converged,lka,lcl,lvc,KA,CL,V,omega2_cl,omega_cl_v,omega2_v,rho_cl_v,sigma_prop,sigma2_prop,objf,aic,sh_eta_cl_pct,sh_eta_v_pct,sh_eps_pct,convergence
scenario2,359,100,True,True,2.2761465484,2.2396756834,3.0148473372,9.7390789388,9.3902853679,20.3859785224,0.1621580934,0.10318537102,0.067203368847,0.98844678501,0.3463948612,0.11998939987,2200.7290761037,2766.0921960265,7.3371034945,8.7804660323,12.7288045767,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,360,100,True,True,2.2478094392,2.1571884087,2.9586740601,9.4669751208,8.6467922042,19.2724007618,0.093424462567,0.057537902028,0.036951582687,0.97928070148,0.36953854788,0.13655873837,2229.2281738505,2794.5912937733,12.48143629,14.7144983141,10.6950721322,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,361,100,True,True,2.1147545601,2.2134496053,2.9541301661,8.287551421,9.1472163166,19.1850276732,0.1087612501,0.055600020318,0.029924264716,0.97459933555,0.38590790002,0.1489249073,2241.4484237153,2806.8115436381,10.5678317111,13.8068062306,10.9665756277,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,362,100,True,True,2.2702646465,2.1668086361,2.941765928,9.6819627723,8.7303777226,18.9492798473,0.11389487875,0.066445152022,0.040283958292,0.98094607152,0.3586115237,0.12860222493,2227.7337630825,2793.0968830053,10.035467555,12.4176992217,11.7225433931,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,363,100,True,True,2.4845235172,2.2087893982,2.9995646791,11.9954032898,9.1046875677,20.0767951716,0.093587794873,0.042527723769,0.020793781028,0.96404165146,0.3407970583,0.11614263495,2171.8628311868,2737.2259511096,10.0852239733,14.4393199435,11.6865391464,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,364,100,True,True,2.2726091984,2.1795238193,2.9196693198,9.7046892685,8.8420948209,18.5351572369,0.083902679418,0.059195596386,0.043288609641,0.98223332947,0.34698644286,0.12039959153,2155.8157653254,2721.1788852482,13.1603981349,15.3295548296,11.2464776525,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,365,100,True,True,2.2729769359,2.129657303,2.9181525574,9.7082587022,8.4119835563,18.5070651173,0.11733477866,0.059623408674,0.031802848545,0.97604628174,0.34202266438,0.11697950295,2254.5109727982,2819.874092721,8.9582470352,11.8704475551,12.0915437908,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,366,100,True,True,2.0924557528,2.1416790446,2.9250467722,8.1047941161,8.5137205513,18.635097634,0.12555143213,0.070656548611,0.041285267618,0.98139543141,0.31557458191,0.09958731675,2175.7806526051,2741.1437725279,7.5861502903,9.9192470835,13.0745913015,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,367,100,True,True,2.1311332577,2.1602972157,3.0060844533,8.42440843,8.6737152399,20.2081189782,0.11408383784,0.085265272949,0.065269355333,0.98811038501,0.37468517013,0.14038897672,2248.6376728523,2814.0007927751,12.2292332815,13.4713272382,10.9760486245,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,368,100,True,True,2.2812538474,2.164812934,2.9461005652,9.7889465635,8.7129718632,19.0315963768,0.082760515586,0.050586306068,0.0324269692,0.97649088564,0.35650989837,0.12709930763,2204.1420973789,2769.5052173017,13.4730300057,16.2277938329,10.8496735033,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,369,100,True,True,2.3265161517,2.2178851381,3.0011940565,10.2421970446,9.1878792087,20.1095345126,0.094033027621,0.071391719381,0.055738613637,0.98611950841,0.36443012089,0.13280931301,2181.1414906965,2746.5046106193,13.4192408381,15.0042486799,10.8783529033,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,370,100,True,True,2.3423148086,2.1741758008,2.9667369824,10.4052949731,8.7949333575,19.4284207752,0.10915831169,0.066503517531,0.042039462366,0.98171999195,0.32823804067,0.10774021134,2189.5395299948,2754.9026499176,9.5823701001,11.7846265148,12.352553493,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,371,100,True,True,2.2129282882,2.2221967819,3.0094616921,9.1424489593,9.2275795961,20.2764819972,0.10401761527,0.06340815146,0.040173365233,0.98089504205,0.33478683958,0.11208222796,2176.8196870929,2742.1828070157,10.4375705482,12.6181308954,11.9413810427,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,372,100,True,True,2.1620434106,2.2057902661,3.0218706619,8.688874469,9.0774223135,20.5296598395,0.10646787587,0.064870111745,0.041046475358,0.98129009703,0.37514772354,0.14073581448,2240.8820415373,2806.2451614601,11.9151452969,14.0528188089,10.8999064969,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,373,100,True,True,2.3352983202,2.1564259187,2.9411021535,10.3325418761,8.6402016246,18.936705971,0.099486150143,0.064130638006,0.04286379423,0.98206208034,0.38911573631,0.15141105624,2248.5818323935,2813.9449523163,13.018862992,15.1822325296,10.4817446683,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,374,100,True,True,2.3874612384,2.181894676,2.9756304191,10.8858223244,8.8630830311,19.601976815,0.091623989587,0.05580813097,0.035505538786,0.97846394075,0.34529740162,0.11923029556,2183.2515846706,2748.6147045934,11.9939947233,14.5873025117,11.4521959227,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,375,100,True,True,2.2551772934,2.1418098186,2.9797147434,9.5369840043,8.5148339973,19.6822013668,0.10490993495,0.063898165508,0.040439601067,0.98101726289,0.35905571271,0.12892100483,2208.4635971727,2773.8267170955,12.5863500494,14.8140630867,15.6480431949,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,376,100,True,True,2.1386721581,2.1594060406,2.9421353857,8.4881592094,8.6659888837,18.9562820972,0.065896196641,0.040281130984,0.02611311153,0.97105129006,0.38985379201,0.15198597915,2216.1634501529,2781.5265700757,17.8970207006,21.2001185595,9.2611288153,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,377,100,True,True,2.3239655923,2.1251824976,2.9368908443,10.2161069988,8.374425661,18.8571253353,0.080405878868,0.04409553372,0.025671035578,0.97057479215,0.35736814411,0.12771199043,2234.682216349,2800.0453362718,13.5703246925,16.9898605297,10.6921432919,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,378,100,True,True,2.3696724385,2.1630047309,2.9780876501,10.693888804,8.697231276,19.6502026282,0.08006150144,0.049190904676,0.03172877752,0.97599203818,0.37163938779,0.13811583456,2219.2413514085,2784.6044713313,14.6054867052,17.2761483653,10.2040947791,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,379,100,True,True,2.183939887,2.1244496956,2.9144103039,8.8812284553,8.3682911132,18.4379364175,0.096477150638,0.053987907011,0.031716396877,0.9759831844,0.36846945738,0.13576974102,2262.1657265857,2827.5288465085,11.9839860747,14.8553314251,10.829455578,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,380,100,True,True,2.4806779102,2.1657811856,2.9898370902,11.9493622677,8.7214122977,19.8824431826,0.11941508692,0.076218784824,0.050179905492,0.98461738882,0.37418421941,0.14001383006,2257.3513659024,2822.7144858252,10.9727561531,12.7555107533,11.2407117022,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,381,100,True,True,2.1947647666,2.1674706047,2.9374149871,8.9778889091,8.7361588713,18.867011751,0.10656063857,0.064922939165,0.04107645435,0.98130337186,0.36770184269,0.13520464512,2233.6227116755,2798.9858315983,10.966178606,13.2126958383,11.2905182672,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,382,100,True,True,2.1313755723,2.1803097196,2.9675596291,8.426450034,8.8490465571,19.4444100774,0.095545084991,0.06338078554,0.04356913938,0.98234480159,0.35650175672,0.12709350254,2212.7000342296,2778.0631541524,12.3908842668,14.426977427,11.085361896,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,383,100,True,True,2.2670996774,2.1046716072,2.9147902048,9.6513681009,8.2044082983,18.4449423366,0.12138069155,0.066362793432,0.037799450224,0.97973159408,0.35269178604,0.12439149594,2247.9009538799,2813.2640738027,9.3465025393,11.7989516368,11.8725232349,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,384,100,True,True,2.2362145138,2.1975382521,3.0239454385,9.3578401792,9.0028235155,20.5722985145,0.11148994136,0.053715167855,0.027373536366,0.97232989818,0.34045708193,0.11591102464,2198.3585076301,2763.7216275529,9.5431493467,12.8113387372,11.9970502,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,385,100,True,True,2.2512092555,2.1941011791,2.999270859,9.4992158724,8.9719332701,20.0708970725,0.12420262442,0.07531554951,0.047199760511,0.98366986137,0.34336970093,0.11790275151,2199.8146300747,2765.1777499975,9.3299162254,11.2879696322,12.1996573375,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,386,100,True,True,2.3356713397,2.1946520168,2.9559770187,10.3363968347,8.9768767107,19.2204923288,0.11203901832,0.068533009679,0.043445576124,0.98229600281,0.34618804088,0.11984615965,2192.322481002,2757.6856009248,9.9201762466,12.0214388716,11.9560941227,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
scenario2,387,100,True,True,2.1691892674,2.1152954068,2.9253628684,8.7511862923,8.2920349276,18.6409890478,0.07152710173,0.044205257098,0.02881780213,0.97366190718,0.36528737882,0.13343486912,2217.2589498251,2782.6220697479,15.9087672951,18.608776376,10.0018008883,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
