trial,trial_dir,seed_base,trial_seed_master
106,/project/data/scenario1/bootstrap/trial_0106,4869,1064869
107,/project/data/scenario1/bootstrap/trial_0107,4869,1074869
108,/project/data/scenario1/bootstrap/trial_0108,4869,1084869
109,/project/data/scenario1/bootstrap/trial_0109,4869,1094869
110,/project/data/scenario1/bootstrap/trial_0110,4869,1104869
111,/project/data/scenario1/bootstrap/trial_0111,4869,1114869
112,/project/data/scenario1/bootstrap/trial_0112,4869,1124869
113,/project/data/scenario1/bootstrap/trial_0113,4869,1134869
114,/project/data/scenario1/bootstrap/trial_0114,4869,1144869
115,/project/data/scenario1/bootstrap/trial_0115,4869,1154869
116,/project/data/scenario1/bootstrap/trial_0116,4869,1164869
117,/project/data/scenario1/bootstrap/trial_0117,4869,1174869
118,/project/data/scenario1/bootstrap/trial_0118,4869,1184869
119,/project/data/scenario1/bootstrap/trial_0119,4869,1194869
120,/project/data/scenario1/bootstrap/trial_0120,4869,1204869
121,/project/data/scenario1/bootstrap/trial_0121,4869,1214869
122,/project/data/scenario1/bootstrap/trial_0122,4869,1224869
123,/project/data/scenario1/bootstrap/trial_0123,4869,1234869
124,/project/data/scenario1/bootstrap/trial_0124,4869,1244869
125,/project/data/scenario1/bootstrap/trial_0125,4869,1254869
126,/project/data/scenario1/bootstrap/trial_0126,4869,1264869
127,/project/data/scenario1/bootstrap/trial_0127,4869,1274869
128,/project/data/scenario1/bootstrap/trial_0128,4869,1284869
129,/project/data/scenario1/bootstrap/trial_0129,4869,1294869
130,/project/data/scenario1/bootstrap/trial_0130,4869,1304869
131,/project/data/scenario1/bootstrap/trial_0131,4869,1314869
132,/project/data/scenario1/bootstrap/trial_0132,4869,1324869
133,/project/data/scenario1/bootstrap/trial_0133,4869,1334869
134,/project/data/scenario1/bootstrap/trial_0134,4869,1344869
135,/project/data/scenario1/bootstrap/trial_0135,4869,1354869
136,/project/data/scenario1/bootstrap/trial_0136,4869,1364869
137,/project/data/scenario1/bootstrap/trial_0137,4869,1374869
138,/project/data/scenario1/bootstrap/trial_0138,4869,1384869
139,/project/data/scenario1/bootstrap/trial_0139,4869,1394869
140,/project/data/scenario1/bootstrap/trial_0140,4869,1404869
141,/project/data/scenario1/bootstrap/trial_0141,4869,1414869
142,/project/data/scenario1/bootstrap/trial_0142,4869,1424869
143,/project/data/scenario1/bootstrap/trial_0143,4869,1434869
144,/project/data/scenario1/bootstrap/trial_0144,4869,1444869
145,/project/data/scenario1/bootstrap/trial_0145,4869,1454869
146,/project/data/scenario1/bootstrap/trial_0146,4869,1464869
147,/project/data/scenario1/bootstrap/trial_0147,4869,1474869
148,/project/data/scenario1/bootstrap/trial_0148,4869,1484869
149,/project/data/scenario1/bootstrap/trial_0149,4869,1494869
150,/project/data/scenario1/bootstrap/trial_0150,4869,1504869
151,/project/data/scenario1/bootstrap/trial_0151,4869,1514869
152,/project/data/scenario1/bootstrap/trial_0152,4869,1524869
153,/project/data/scenario1/bootstrap/trial_0153,4869,1534869
154,/project/data/scenario1/bootstrap/trial_0154,4869,1544869
155,/project/data/scenario1/bootstrap/trial_0155,4869,1554869
156,/project/data/scenario1/bootstrap/trial_0156,4869,1564869
157,/project/data/scenario1/bootstrap/trial_0157,4869,1574869
158,/project/data/scenario1/bootstrap/trial_0158,4869,1584869
159,/project/data/scenario1/bootstrap/trial_0159,4869,1594869
160,/project/data/scenario1/bootstrap/trial_0160,4869,1604869
161,/project/data/scenario1/bootstrap/trial_0161,4869,1614869
162,/project/data/scenario1/bootstrap/trial_0162,4869,1624869
163,/project/data/scenario1/bootstrap/trial_0163,4869,1634869
164,/project/data/scenario1/bootstrap/trial_0164,4869,1644869
165,/project/data/scenario1/bootstrap/trial_0165,4869,1654869
166,/project/data/scenario1/bootstrap/trial_0166,4869,1664869
167,/project/data/scenario1/bootstrap/trial_0167,4869,1674869
168,/project/data/scenario1/bootstrap/trial_0168,4869,1684869
169,/project/data/scenario1/bootstrap/trial_0169,4869,1694869
170,/project/data/scenario1/bootstrap/trial_0170,4869,1704869
171,/project/data/scenario1/bootstrap/trial_0171,4869,1714869
172,/project/data/scenario1/bootstrap/trial_0172,4869,1724869
173,/project/data/scenario1/bootstrap/trial_0173,4869,1734869
174,/project/data/scenario1/bootstrap/trial_0174,4869,1744869
175,/project/data/scenario1/bootstrap/trial_0175,4869,1754869
176,/project/data/scenario1/bootstrap/trial_0176,4869,1764869
177,/project/data/scenario1/bootstrap/trial_0177,4869,1774869
178,/project/data/scenario1/bootstrap/trial_0178,4869,1784869
179,/project/data/scenario1/bootstrap/trial_0179,4869,1794869
180,/project/data/scenario1/bootstrap/trial_0180,4869,1804869
181,/project/data/scenario1/bootstrap/trial_0181,4869,1814869
182,/project/data/scenario1/bootstrap/trial_0182,4869,1824869
183,/project/data/scenario1/bootstrap/trial_0183,4869,1834869
184,/project/data/scenario1/bootstrap/trial_0184,4869,1844869
185,/project/data/scenario1/bootstrap/trial_0185,4869,1854869
186,/project/data/scenario1/bootstrap/trial_0186,4869,1864869
187,/project/data/scenario1/bootstrap/trial_0187,4869,1874869
188,/project/data/scenario1/bootstrap/trial_0188,4869,1884869
189,/project/data/scenario1/bootstrap/trial_0189,4869,1894869
190,/project/data/scenario1/bootstrap/trial_0190,4869,1904869
191,/project/data/scenario1/bootstrap/trial_0191,4869,1914869
192,/project/data/scenario1/bootstrap/trial_0192,4869,1924869
193,/project/data/scenario1/bootstrap/trial_0193,4869,1934869
194,/project/data/scenario1/bootstrap/trial_0194,4869,1944869
195,/project/data/scenario1/bootstrap/trial_0195,4869,1954869
196,/project/data/scenario1/bootstrap/trial_0196,4869,1964869
197,/project/data/scenario1/bootstrap/trial_0197,4869,1974869
198,/project/data/scenario1/bootstrap/trial_0198,4869,1984869
199,/project/data/scenario1/bootstrap/trial_0199,4869,1994869
200,/project/data/scenario1/bootstrap/trial_0200,4869,2004869
201,/project/data/scenario1/bootstrap/trial_0201,4869,2014869
202,/project/data/scenario1/bootstrap/trial_0202,4869,2024869
203,/project/data/scenario1/bootstrap/trial_0203,4869,2034869
204,/project/data/scenario1/bootstrap/trial_0204,4869,2044869
205,/project/data/scenario1/bootstrap/trial_0205,4869,2054869
206,/project/data/scenario1/bootstrap/trial_0206,4869,2064869
207,/project/data/scenario1/bootstrap/trial_0207,4869,2074869
208,/project/data/scenario1/bootstrap/trial_0208,4869,2084869
209,/project/data/scenario1/bootstrap/trial_0209,4869,2094869
210,/project/data/scenario1/bootstrap/trial_0210,4869,2104869
211,/project/data/scenario1/bootstrap/trial_0211,4869,2114869
212,/project/data/scenario1/bootstrap/trial_0212,4869,2124869
213,/project/data/scenario1/bootstrap/trial_0213,4869,2134869
214,/project/data/scenario1/bootstrap/trial_0214,4869,2144869
215,/project/data/scenario1/bootstrap/trial_0215,4869,2154869
216,/project/data/scenario1/bootstrap/trial_0216,4869,2164869
217,/project/data/scenario1/bootstrap/trial_0217,4869,2174869
218,/project/data/scenario1/bootstrap/trial_0218,4869,2184869
219,/project/data/scenario1/bootstrap/trial_0219,4869,2194869
220,/project/data/scenario1/bootstrap/trial_0220,4869,2204869
221,/project/data/scenario1/bootstrap/trial_0221,4869,2214869
222,/project/data/scenario1/bootstrap/trial_0222,4869,2224869
223,/project/data/scenario1/bootstrap/trial_0223,4869,2234869
224,/project/data/scenario1/bootstrap/trial_0224,4869,2244869
225,/project/data/scenario1/bootstrap/trial_0225,4869,2254869
226,/project/data/scenario1/bootstrap/trial_0226,4869,2264869
227,/project/data/scenario1/bootstrap/trial_0227,4869,2274869
228,/project/data/scenario1/bootstrap/trial_0228,4869,2284869
229,/project/data/scenario1/bootstrap/trial_0229,4869,2294869
230,/project/data/scenario1/bootstrap/trial_0230,4869,2304869
231,/project/data/scenario1/bootstrap/trial_0231,4869,2314869
232,/project/data/scenario1/bootstrap/trial_0232,4869,2324869
233,/project/data/scenario1/bootstrap/trial_0233,4869,2334869
234,/project/data/scenario1/bootstrap/trial_0234,4869,2344869
235,/project/data/scenario1/bootstrap/trial_0235,4869,2354869
236,/project/data/scenario1/bootstrap/trial_0236,4869,2364869
237,/project/data/scenario1/bootstrap/trial_0237,4869,2374869
238,/project/data/scenario1/bootstrap/trial_0238,4869,2384869
239,/project/data/scenario1/bootstrap/trial_0239,4869,2394869
240,/project/data/scenario1/bootstrap/trial_0240,4869,2404869
241,/project/data/scenario1/bootstrap/trial_0241,4869,2414869
242,/project/data/scenario1/bootstrap/trial_0242,4869,2424869
243,/project/data/scenario1/bootstrap/trial_0243,4869,2434869
244,/project/data/scenario1/bootstrap/trial_0244,4869,2444869
245,/project/data/scenario1/bootstrap/trial_0245,4869,2454869
246,/project/data/scenario1/bootstrap/trial_0246,4869,2464869
247,/project/data/scenario1/bootstrap/trial_0247,4869,2474869
248,/project/data/scenario1/bootstrap/trial_0248,4869,2484869
249,/project/data/scenario1/bootstrap/trial_0249,4869,2494869
250,/project/data/scenario1/bootstrap/trial_0250,4869,2504869
251,/project/data/scenario1/bootstrap/trial_0251,4869,2514869
252,/project/data/scenario1/bootstrap/trial_0252,4869,2524869
253,/project/data/scenario1/bootstrap/trial_0253,4869,2534869
254,/project/data/scenario1/bootstrap/trial_0254,4869,2544869
255,/project/data/scenario1/bootstrap/trial_0255,4869,2554869
256,/project/data/scenario1/bootstrap/trial_0256,4869,2564869
257,/project/data/scenario1/bootstrap/trial_0257,4869,2574869
258,/project/data/scenario1/bootstrap/trial_0258,4869,2584869
259,/project/data/scenario1/bootstrap/trial_0259,4869,2594869
260,/project/data/scenario1/bootstrap/trial_0260,4869,2604869
261,/project/data/scenario1/bootstrap/trial_0261,4869,2614869
262,/project/data/scenario1/bootstrap/trial_0262,4869,2624869
263,/project/data/scenario1/bootstrap/trial_0263,4869,2634869
264,/project/data/scenario1/bootstrap/trial_0264,4869,2644869
265,/project/data/scenario1/bootstrap/trial_0265,4869,2654869
266,/project/data/scenario1/bootstrap/trial_0266,4869,2664869
267,/project/data/scenario1/bootstrap/trial_0267,4869,2674869
268,/project/data/scenario1/bootstrap/trial_0268,4869,2684869
269,/project/data/scenario1/bootstrap/trial_0269,4869,2694869
270,/project/data/scenario1/bootstrap/trial_0270,4869,2704869
271,/project/data/scenario1/bootstrap/trial_0271,4869,2714869
272,/project/data/scenario1/bootstrap/trial_0272,4869,2724869
273,/project/data/scenario1/bootstrap/trial_0273,4869,2734869
274,/project/data/scenario1/bootstrap/trial_0274,4869,2744869
