"trial","execution_state","converged","parameter","estimate"
66,"completed",TRUE,"(etaLcl,etaLvc)",0.0639372097159497
67,"completed",TRUE,"(etaLcl,etaLvc)",0.0604880019590804
68,"completed",TRUE,"(etaLcl,etaLvc)",0.0584160344759015
69,"completed",TRUE,"(etaLcl,etaLvc)",0.060964512775461
70,"completed",TRUE,"(etaLcl,etaLvc)",0.0607488500865051
66,"completed",TRUE,"CcPropSd",0.3603490930125
67,"completed",TRUE,"CcPropSd",0.321799139876477
68,"completed",TRUE,"CcPropSd",0.367298808008654
69,"completed",TRUE,"CcPropSd",0.335322553358797
70,"completed",TRUE,"CcPropSd",0.335867934325008
66,"completed",TRUE,"etaLcl",0.104639321198467
67,"completed",TRUE,"etaLcl",0.114966393957176
68,"completed",TRUE,"etaLcl",0.121124180261779
69,"completed",TRUE,"etaLcl",0.11232762858109
70,"completed",TRUE,"etaLcl",0.105653449085795
66,"completed",TRUE,"etaLvc",0.0405881797272398
67,"completed",TRUE,"etaLvc",0.0333312456241658
68,"completed",TRUE,"etaLvc",0.029669698560607
69,"completed",TRUE,"etaLvc",0.0345970410669813
70,"completed",TRUE,"etaLvc",0.0364429823598882
66,"completed",TRUE,"lcl",2.15423051188769
67,"completed",TRUE,"lcl",2.14774047301002
68,"completed",TRUE,"lcl",2.17922765763904
69,"completed",TRUE,"lcl",2.21746512612146
70,"completed",TRUE,"lcl",2.23836784703501
66,"completed",TRUE,"lka",2.32373331190495
67,"completed",TRUE,"lka",2.11857212474096
68,"completed",TRUE,"lka",2.37813371592379
69,"completed",TRUE,"lka",2.46118166311794
70,"completed",TRUE,"lka",2.39741267536311
66,"completed",TRUE,"lvc",2.96520402023429
67,"completed",TRUE,"lvc",2.94942194432008
68,"completed",TRUE,"lvc",2.97591060307473
69,"completed",TRUE,"lvc",3.01382883062999
70,"completed",TRUE,"lvc",3.01758662336818
66,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.9810845466289
67,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.977142746163134
68,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.974451165742507
69,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.977944781599482
70,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.979014821101928
