parameter,n_converged,median,ci_lower,ci_upper
KA,1,9.1424489593309,9.1424489593309,9.1424489593309
CL,1,9.22757959613157,9.22757959613157,9.22757959613157
V,1,20.2764819971852,20.2764819971852,20.2764819971852
omega2_cl,1,0.104017615267828,0.104017615267828,0.104017615267828
omega_cl_v,1,0.0634081514595529,0.0634081514595529,0.0634081514595529
omega2_v,1,0.040173365232924,0.040173365232924,0.040173365232924
rho_cl_v,1,0.980895042052894,0.980895042052894,0.980895042052894
sigma2_prop,1,0.112082227958076,0.112082227958076,0.112082227958076
