"trial","execution_state","converged","parameter","estimate"
196,"completed",TRUE,"(etaLcl,etaLvc)",0.0575984339314566
197,"completed",TRUE,"(etaLcl,etaLvc)",0.0765986969612283
198,"completed",TRUE,"(etaLcl,etaLvc)",0.0635777302483198
199,"completed",TRUE,"(etaLcl,etaLvc)",0.0817434566410301
200,"completed",TRUE,"(etaLcl,etaLvc)",0.0444684047132113
196,"completed",TRUE,"CcPropSd",0.376096112047182
197,"completed",TRUE,"CcPropSd",0.371248392405725
198,"completed",TRUE,"CcPropSd",0.338358715588046
199,"completed",TRUE,"CcPropSd",0.351658663730689
200,"completed",TRUE,"CcPropSd",0.351199058326026
196,"completed",TRUE,"etaLcl",0.107172841655132
197,"completed",TRUE,"etaLcl",0.127474132338547
198,"completed",TRUE,"etaLcl",0.113428506637944
199,"completed",TRUE,"etaLcl",0.1243248925317
200,"completed",TRUE,"etaLcl",0.0956049076967309
196,"completed",TRUE,"etaLvc",0.0324603564700732
197,"completed",TRUE,"etaLvc",0.0475563642433849
198,"completed",TRUE,"etaLvc",0.0371502100984932
199,"completed",TRUE,"etaLvc",0.0552832243909383
200,"completed",TRUE,"etaLvc",0.0221547376218264
196,"completed",TRUE,"lcl",2.14460565652192
197,"completed",TRUE,"lcl",2.15029165651971
198,"completed",TRUE,"lcl",2.13953635861684
199,"completed",TRUE,"lcl",2.25140025180197
200,"completed",TRUE,"lcl",2.23839971245724
196,"completed",TRUE,"lka",2.26627861482879
197,"completed",TRUE,"lka",2.65859354883159
198,"completed",TRUE,"lka",2.3101457228487
199,"completed",TRUE,"lka",2.57905267491362
200,"completed",TRUE,"lka",2.31266185657521
196,"completed",TRUE,"lvc",2.95060857294702
197,"completed",TRUE,"lvc",2.96307988460521
198,"completed",TRUE,"lvc",2.90902007730867
199,"completed",TRUE,"lvc",3.04042038077241
200,"completed",TRUE,"lvc",3.01595152084252
196,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.976543649057048
197,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.983798207975986
198,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.979407161046228
199,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.98600080528631
200,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.966224734366181
