"parameter","median","p2.5","p97.5"
"(etaLcl,etaLvc)",0.0659523809924941,0.0602980565095977,0.0727991089565901
"CcPropSd",0.345787398787737,0.312529536317663,0.376378314173487
"etaLcl",0.107213936094909,0.0994020640692381,0.127311919267758
"etaLvc",0.0396488032047402,0.0359856703103773,0.049067167584472
"lcl",2.1643932627379,2.13474157791845,2.17640270987603
"lka",2.19105762268027,2.17101173572914,2.34980407402629
"lvc",2.95720408659919,2.94129987521741,2.96778082643203
"rho_(etaLcl,etaLvc)",0.980676129287726,0.978761321565592,0.984258779166504
