"parameter","median","p2.5","p97.5"
"(etaLcl,etaLvc)",0.063415554772635,0.0496086280394563,0.0781716851087082
"CcPropSd",0.362631720220243,0.343714377233849,0.377058396946754
"etaLcl",0.109318724546106,0.0914420538388679,0.131733560398152
"etaLvc",0.0383038911633855,0.028409435222757,0.0506216718430036
"lcl",2.15580513281233,2.13662329146876,2.25969804357229
"lka",2.14992057182235,2.05754534669476,2.30148976134205
"lvc",2.97167641100525,2.91920433009022,3.01489730258402
"rho_(etaLcl,etaLvc)",0.980002245358188,0.973304448137926,0.984720321466593
