"iter","lka","lcl","lvc","CcPropSd","pchol__omega_cl_v__etaLcl__etaLcl","pchol__omega_cl_v__etaLcl__etaLvc","pchol__omega_cl_v__etaLvc__etaLvc","objf"
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2232.6678
2,2.28258204499958,2.67669418444217,2.83129038782075,-0.391898069252457,3.88890182924383,-25.1635577453181,2.23015543570558,2835.0206
3,2.21864857179088,2.17215135068077,2.91882589286463,-1.12388054219154,3.98013208027136,-25.1571753688544,2.22992591986611,2224.0378
4,2.2203806023834,2.17736812098435,2.95191800261154,-1.07198583105393,3.97204479960545,-25.1577418634602,2.23118643686524,2216.6414
5,2.22457653819298,2.19346786807541,2.98596582697867,-1.01760565086997,3.96275411055614,-25.1583906910938,2.23599379047887,2213.8682
6,2.22983977342135,2.20478628811179,3.00127740003782,-1.00623487154628,3.95897297421688,-25.1586473621745,2.24457649027376,2213.4511
7,2.24145739008137,2.21496608824542,3.01330431027328,-1.00269545012206,3.95397302505503,-25.158977026329,2.26211926339537,2213.1343
8,2.26731544564342,2.22096799997077,3.02202752657521,-0.999478812894113,3.94213799887865,-25.1597631424851,2.29751997503262,2212.7091
9,2.31579108733394,2.21601807440105,3.02437068168182,-1.00202987790415,3.90597644175842,-25.1622355488061,2.36050349613162,2212.1193
10,2.41124578326236,2.24550646155214,3.01117547348514,-0.964454588271036,3.81258579792072,-25.1686685307316,2.48088552309081,2214.814
11,2.33256508474281,2.22119998949547,3.02205192317604,-0.995426873150813,3.88956515468124,-25.1633659994466,2.38165790648983,2211.9832
12,2.35785673711498,2.21249537976506,3.01686946958864,-1.000965687353,3.86353198748469,-25.1651637197111,2.41359505641656,2211.7885
13,2.37124108342633,2.2103756844756,3.01398619622405,-1.0085330793101,3.8336444691643,-25.1672390600664,2.43255014138608,2211.6294
14,2.43552524452122,2.20534105684772,3.01414278023467,-1.00419022958321,3.64273211049758,-25.1804565772774,2.53550966662889,2211.3895
15,2.4048477339635,2.2102162650838,3.00794342711605,-1.02747508993017,3.64862265191876,-25.1800569675468,2.51194814302104,2211.061
16,2.38065371009487,2.21305146133498,3.00997531744202,-1.02400372704349,3.67411553999195,-25.1782866517546,2.48926041671145,2210.9733
17,2.34575842203557,2.21900049916662,2.99937537730103,-1.0071096599827,3.65173498266607,-25.1797731376412,2.50236204580476,2211.138
18,2.36999048706614,2.21486935483101,3.0067362117604,-1.01884127632449,3.66727654001386,-25.1787408887424,2.49326398283259,2210.9331
19,2.34908225185949,2.21554959006788,3.00733588506213,-1.01757492977752,3.65816742911082,-25.1793529715069,2.49166950020996,2210.8497
20,2.32073392458647,2.2126958180387,3.00397552300845,-1.01814086001299,3.62553724715578,-25.1815624712067,2.5126304351435,2210.7291
21,2.30372434942411,2.2097948696493,3.00007891344037,-1.01966392594655,3.57647446335445,-25.184897250382,2.55879725029612,2210.6219
22,2.29246283603998,2.21152704050856,2.99827945923605,-1.02413462899204,3.53617505103038,-25.1876401228653,2.61241132243405,2210.542
23,2.30687037068087,2.20383597788292,2.995024615665,-1.01395011919266,3.50759325258155,-25.1895730129137,2.67829313641105,2210.5895
24,2.29772633273845,2.20871726883375,2.99709036902615,-1.02041392763398,3.52573327833842,-25.1883462645225,2.63647988926385,2210.5174
25,2.29600428308565,2.21017808656247,2.99622655735609,-1.02005414877804,3.52322041876408,-25.1885105249263,2.64435334342839,2210.5146
26,2.29819324766418,2.21010323299499,2.99725574515972,-1.02072062560752,3.52546182991427,-25.1883595748885,2.64317447231922,2210.5124
27,2.29862556015383,2.21012624891301,2.99736371239713,-1.02077627577106,3.52655271411415,-25.1882837813001,2.6425529661034,2210.5124
28,2.29830731813081,2.21010930600137,2.99728423351813,-1.02073530952314,3.52574967186354,-25.1883395759058,2.64301048098022,2210.5124
29,2.29821869668733,2.2101045878775,2.99726210088802,-1.02072390157648,3.52552604720597,-25.1883551131326,2.64313788599232,2210.5124
30,2.29819868425147,2.21010352243388,2.9972571029121,-1.0207213254415,3.52547554843345,-25.1883586217389,2.64316665650803,2210.5124
31,2.29819439770648,2.21010329422218,2.99725603237532,-1.02072077364868,3.52546473189607,-25.1883593732616,2.64317281898175,2210.5125
32,2.29819324826485,2.21010323302697,2.99725574530974,-1.02072062568484,3.52546183142999,-25.1883595747832,2.64317447145568,2210.5124
33,2.2981932488649,2.21010323305891,2.99725574545959,-1.02072062576208,3.52546183294413,-25.188359574678,2.64317447059303,2210.5124
34,2.29819324839118,2.21010323303369,2.99725574534128,-1.0207206257011,3.52546183174876,-25.188359574761,2.64317447127407,2210.5124
35,2.29819324849129,2.21010323303902,2.99725574536629,-1.02072062571399,3.52546183200137,-25.1883595747435,2.64317447113015,2210.5124
36,2.29819324857024,2.21010323304323,2.997255745386,-1.02072062572415,3.5254618322006,-25.1883595747296,2.64317447101664,2210.5124
37,2.29819324849129,2.21010323303902,2.99725574536629,-1.02072062571399,3.52546183200137,-25.1883595747435,2.64317447113015,2210.5124
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2285.7136
2,2.35445514422445,2.44052275837454,2.49353761497665,-0.385826038162686,3.92956277557164,-25.1605495307571,2.12733290558836,2976.2372
3,2.22780998827517,2.15311962440399,2.87907243517351,-1.11184908317104,3.98334109333838,-25.1569322689871,2.21824016381256,2272.1525
4,2.23369648593958,2.13693842227515,2.89774037204908,-1.0597026683648,3.97792554633689,-25.1573037491965,2.21182081609034,2262.016
5,2.24552674299006,2.13092294689726,2.91677091613831,-0.985101487366621,3.9705824488132,-25.1578073350561,2.20195392425002,2257.179
6,2.25519817268234,2.14265488248821,2.93402872840018,-0.961963855610361,3.96798224136574,-25.1579837598722,2.19748349106847,2256.2962
7,2.27648291035173,2.1645873928539,2.95798945951335,-0.949391949683157,3.96683231152304,-25.1580440901899,2.19247703295069,2255.6576
8,2.30667897197949,2.17254379219431,2.96743968778402,-0.94734366100185,3.96818750925517,-25.1579090677539,2.18741011508854,2255.3306
9,2.39185142964253,2.17641155286348,2.97986164357796,-0.953053649474631,3.97490336787471,-25.1573089715003,2.1720267437171,2254.7728
10,2.54193342890108,2.20678285110035,2.94502258189978,-0.896493681659783,3.98743896476924,-25.1561598981696,2.13517002590424,2262.7343
11,2.40248494751884,2.17856340148173,2.97739324772117,-0.949046297281735,3.975791532307,-25.1572275580605,2.1694153941238,2254.7229
12,2.44249831274575,2.17471217831364,2.97764467228041,-0.956559435042372,3.98020185059347,-25.1568510677022,2.16233349592667,2254.5899
13,2.45844445201234,2.17084111205489,2.97567151336175,-0.959084197743632,3.98641067291789,-25.1563556074454,2.15852911464899,2254.5637
14,2.46022544567668,2.17058851774687,2.97454666323132,-0.962697696917506,3.99134797907406,-25.155971782714,2.15692605289223,2254.5606
15,2.46056537255668,2.16983471344235,2.97437793161402,-0.961391452241532,3.99310213480266,-25.1558336488148,2.15595095207462,2254.5562
16,2.45903063861543,2.16903927112407,2.97421573073312,-0.959721678843837,3.99913117755264,-25.1553621961122,2.15309328558582,2254.5494
17,2.45562310984553,2.16832469157862,2.97498420647757,-0.95895084501218,4.01201014472551,-25.1543545569364,2.14682722656579,2254.5406
18,2.45044768050269,2.16929402432898,2.97496444546706,-0.956577698844543,4.02671074626093,-25.153201854993,2.13896329609615,2254.5342
19,2.44973608494685,2.16990856651834,2.97585483351224,-0.958212174284844,4.03071463001866,-25.1528850579476,2.13636422279485,2254.5302
20,2.45045599391531,2.17064692714862,2.97624893497858,-0.959117033160882,4.0305890672851,-25.1528867174334,2.13509408157473,2254.5284
21,2.45099034156169,2.17109469519007,2.97661318131674,-0.959332973083682,4.0306660314647,-25.1528693388619,2.13340810331649,2254.5277
22,2.45185246276347,2.1710671950083,2.97672635122378,-0.959389755102747,4.03102758969021,-25.1528189404049,2.13103688393748,2254.5269
23,2.45322916103321,2.17093329494638,2.9765335736327,-0.959323166576864,4.03059197139442,-25.1528232349412,2.1304512013115,2254.5267
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2276.9743
2,2.28320136762506,2.61572358785853,2.28037604090775,-0.65492038865745,3.89693070955754,-25.1634111339363,2.1116128863758,4032.0794
3,2.21626660871855,2.14903187348021,2.88599044612585,-1.16887744060104,3.98411590578486,-25.1569239030997,2.22213816090141,2265.5431
4,2.21657610451174,2.14480688572473,2.88977354042769,-1.14278530820128,3.97854482968379,-25.157340270867,2.21617913196915,2261.3549
5,2.21828142587578,2.14321091352895,2.90383205103601,-1.02735606597559,3.94955703944943,-25.1595298592361,2.18484612228154,2252.5332
6,2.218451342064,2.15830960390036,2.91990371856603,-1.00648356364814,3.93484333664545,-25.1606756669755,2.16975802704387,2251.8037
7,2.22194083668307,2.16721727081454,2.92882524689454,-1.00317723192639,3.91909814609846,-25.1619411217102,2.15479892574339,2251.6013
8,2.2280699285128,2.16746264463341,2.92940707819482,-1.00597089580424,3.90790467287979,-25.1629005416742,2.14626339304224,2251.55
9,2.23700115061924,2.16694835078194,2.92991637594668,-1.00973239218634,3.9010182031869,-25.1636405481983,2.14663255594133,2251.5303
10,2.25612838421213,2.17112784235638,2.92432633648247,-1.00992533885909,3.88722006778402,-25.1652064218971,2.14944347834785,2251.696
11,2.23924825790936,2.16743936616795,2.92925964645305,-1.00975505996382,3.89939716946536,-25.1638245103059,2.1469627889675,2251.5273
12,2.2447749604789,2.16684550735633,2.92940911999094,-1.01128322126111,3.89668963639223,-25.1641821075839,2.1494747014956,2251.5218
13,2.25090651301607,2.16578683173375,2.92951663123342,-1.00946678327199,3.8924642372603,-25.1647435507154,2.15234683912778,2251.5177
14,2.25142354876831,2.16638365094735,2.92992083333295,-1.00953628150902,3.89260139197858,-25.1648225425805,2.15468692729941,2251.5159
15,2.25105417369572,2.16689774069164,2.93023071844258,-1.00909878849679,3.89174014767292,-25.1650444632961,2.15662091188319,2251.5148
16,2.25004075488082,2.16718030967694,2.93028539456702,-1.008772938129,3.8893479240447,-25.1655579035061,2.15940910751259,2251.5135
17,2.24788679161728,2.16699263798348,2.92995259391737,-1.00892039731774,3.8843678577643,-25.1666413744714,2.16346135687857,2251.5118
18,2.24886214627294,2.16742464233327,2.92581989533236,-1.00794676045623,3.87300325111798,-25.1689609836618,2.16947545286535,2251.5484
19,2.24793039781502,2.16701195205246,2.92976782905192,-1.00887686791921,3.88385976844331,-25.1667450796585,2.16373023533969,2251.5117
1,2.21156569460688,2.11625551480255,2.92852352386054,-1.20497330465952,3.9902390341261,-25.1564682965436,2.22990049292744,2249.2656
2,2.23094817514854,1.86045183230347,3.0791240279279,-0.250670647347876,4.01544739597977,-25.1544591291696,2.2431376991913,2481.5726
3,2.21439865467343,2.07886702802772,2.95053542337502,-1.06549160551624,3.99392351002798,-25.156174634908,2.2318352544074,2240.5118
4,2.21983329465097,2.1140656197904,2.91796405732775,-1.00873376213036,3.99907324674135,-25.1557973682367,2.23467711873583,2238.6447
5,2.21771785020916,2.10631456069099,2.93367367893271,-1.03635383692144,3.99899919158971,-25.1558082477106,2.23551970209026,2237.1938
6,2.21764793139605,2.11041124093936,2.93857102619529,-1.04049899758494,4.00139743111674,-25.155639059071,2.23786234090948,2237.0172
7,2.21952444388721,2.12651039883593,2.95380969443912,-1.03608428792808,4.01491462664772,-25.1546800966567,2.24984025426874,2236.6223
8,2.22360469283926,2.13048145203402,2.95819111198572,-1.02903793366469,4.03012960232624,-25.153606982303,2.26111192224438,2236.4611
9,2.23380696132144,2.12815900259083,2.95744669461768,-1.02739420379174,4.06383041464111,-25.1512826054599,2.27866939535658,2236.301
10,2.2395029980762,2.12226376295795,2.96096553091567,-1.01054175951768,4.08446752632597,-25.1499969584263,2.27350361974418,2236.3749
11,2.2355958801314,2.12630752137284,2.95855183363164,-1.02210146151257,4.07031178385723,-25.1508788302982,2.27704701236312,2236.2811
12,2.23811324250583,2.12555123924898,2.95643777598556,-1.0201685934275,4.07852798087213,-25.1503562329174,2.27611875644573,2236.2634
