parameter,n_converged,median,ci_lower,ci_upper
KA,1,7.9261840119796,7.9261840119796,7.9261840119796
CL,1,8.25293108391907,8.25293108391907,8.25293108391907
V,1,17.4704417662345,17.4704417662345,17.4704417662345
omega2_cl,1,0.094556099880148,0.094556099880148,0.094556099880148
omega_cl_v,1,0.0442876688331838,0.0442876688331838,0.0442876688331838
omega2_v,1,0.0222184336508857,0.0222184336508857,0.0222184336508857
rho_cl_v,1,0.966231798965794,0.966231798965794,0.966231798965794
sigma2_prop,1,0.110139657326243,0.110139657326243,0.110139657326243
