"trial","execution_state","converged","parameter","estimate"
121,"completed",TRUE,"(etaLcl,etaLvc)",0.0722792776281892
122,"completed",TRUE,"(etaLcl,etaLvc)",0.068226578051176
123,"completed",TRUE,"(etaLcl,etaLvc)",0.0745677765303575
124,"completed",TRUE,"(etaLcl,etaLvc)",0.0388013356550429
125,"completed",TRUE,"(etaLcl,etaLvc)",0.0520290958758763
121,"completed",TRUE,"CcPropSd",0.34958056624577
122,"completed",TRUE,"CcPropSd",0.327809627635022
123,"completed",TRUE,"CcPropSd",0.299013443494981
124,"completed",TRUE,"CcPropSd",0.356861859427643
125,"completed",TRUE,"CcPropSd",0.367281406240751
121,"completed",TRUE,"etaLcl",0.105322360748874
122,"completed",TRUE,"etaLcl",0.122589464954665
123,"completed",TRUE,"etaLcl",0.128298662182428
124,"completed",TRUE,"etaLcl",0.0805941700836997
125,"completed",TRUE,"etaLcl",0.0789272087928836
121,"completed",TRUE,"etaLvc",0.0511372702423855
122,"completed",TRUE,"etaLvc",0.0394889675643425
123,"completed",TRUE,"etaLvc",0.0448647057329559
124,"completed",TRUE,"etaLvc",0.0201432416265436
125,"completed",TRUE,"etaLvc",0.0358125175727998
121,"completed",TRUE,"lcl",2.13853369388952
122,"completed",TRUE,"lcl",2.18332574804745
123,"completed",TRUE,"lcl",2.15071353687019
124,"completed",TRUE,"lcl",2.18371253333658
125,"completed",TRUE,"lcl",2.25508522067844
121,"completed",TRUE,"lka",2.17810793489916
122,"completed",TRUE,"lka",2.32104363568386
123,"completed",TRUE,"lka",2.46839289047514
124,"completed",TRUE,"lka",2.35784240686599
125,"completed",TRUE,"lka",2.025306690941
121,"completed",TRUE,"lvc",2.95727597482067
122,"completed",TRUE,"lvc",2.95397280138309
123,"completed",TRUE,"lvc",2.9242195127782
124,"completed",TRUE,"lvc",2.99968754247237
125,"completed",TRUE,"lvc",2.97513829384935
121,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.984883224890062
122,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.980593759517495
123,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.982851076644338
124,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.963008633443248
125,"completed",TRUE,"rho_(etaLcl,etaLvc)",0.978623139962179
