parameter,n_converged,median,ci_lower,ci_upper
KA,1,10.7574136774014,10.7574136774014,10.7574136774014
CL,1,8.34382473934116,8.34382473934116,8.34382473934116
V,1,18.8381230489612,18.8381230489612,18.8381230489612
omega2_cl,1,0.0957345253926342,0.0957345253926342,0.0957345253926342
omega_cl_v,1,0.0639841124061081,0.0639841124061081,0.0639841124061081
omega2_v,1,0.0442894762077649,0.0442894762077649,0.0442894762077649
rho_cl_v,1,0.982624488920716,0.982624488920716,0.982624488920716
sigma2_prop,1,0.123503172338845,0.123503172338845,0.123503172338845
