"Parameter","Scenario2 Federated","Scenario2 Site1","Scenario2 Site2","Scenario2 Site3","Scenario2 Weighted","Scenario2 Centralized"
"KA",9.69294103562025,6.06157085501641,12.8824456028758,11.2463213261586,"9.14822244011809",9.54890969342692
"CL",8.76360800176701,8.51573771715268,8.87730335236704,9.13295590088075,"8.80555303469533",8.78423007173445
"V",19.3553670995157,17.270001572032,18.3363737941641,21.5330453797612,"18.7863592746698",19.4402117870833
"omega2_cl",0.10571622944,0.0933536152652125,0.0497142776510057,0.102527432264095,"0.0838815468302333",0.104907498512821
"omega_cl_v",0.061097207712,0.0609559305213484,0.00130027551973713,0.048452684131953,"0.041870348018968",0.0639013320160262
"omega2_v",0.035451937762,0.0949928554125614,0.00317060484734952,0.023715661798225,"0.054658736201061",0.0404443691692501
"rho_cl_v",0.997999999068068,0.647298981211128,0.103567563622568,0.982607729314468,"0.618363095361498",0.981019437420315
"sigma2_prop",0.127888220786338,0.0955604530090729,0.126605317471783,0.123630604457054,"0.11329495778228",0.129015155840272
"sh_eta_cl_pct",10.8174338425223,10.9372239061198,11.1791297138251,9.68282232460079,"",11.0843986908049
"sh_eta_v_pct",11.0672757783827,19.6275347483871,77.9837603554329,11.6909128860252,"",13.4847948336435
